year,state,region,sightings_per_100k
1997,NV,West,NA
1997,NY,Northeast,NA
1997,OH,Midwest,NA
1997,OK,South,NA
1997,OR,West,NA
1997,PA,Northeast,NA
1997,RI,Northeast,NA
1997,SC,South,NA
1997,SD,Midwest,NA
1997,TN,South,NA
1997,TX,South,NA
1997,UT,West,NA
1997,VA,South,NA
1997,VT,Northeast,NA
1997,WA,West,NA
1997,WI,Midwest,NA
1997,WV,South,NA
1997,WY,West,NA
1998,AK,West,NA
1998,AL,South,NA
1998,AR,South,NA
1998,AZ,West,NA
1998,CA,West,NA
1998,CO,West,NA
1998,CT,Northeast,NA
1998,DE,South,NA
1998,FL,South,NA
1998,GA,South,NA
1998,HI,West,NA
1998,IA,Midwest,NA
1998,ID,West,NA
1998,IL,Midwest,NA
1998,IN,Midwest,NA
1998,KS,Midwest,NA
1998,KY,South,NA
1998,LA,South,NA
1998,MA,Northeast,NA
1998,MD,South,NA
1998,ME,Northeast,NA
1998,MI,Midwest,NA
1998,MN,Midwest,NA
1998,MO,Midwest,NA
1998,MS,South,NA
1998,MT,West,NA
1998,NC,South,NA
1998,ND,Midwest,NA
1998,NE,Midwest,NA
1998,NH,Northeast,NA
1998,NJ,Northeast,NA
1998,NM,West,NA
1998,NV,West,NA
1998,NY,Northeast,NA
1998,OH,Midwest,NA
1998,OK,South,NA
1998,OR,West,NA
1998,PA,Northeast,NA
1998,RI,Northeast,NA
1998,SC,South,NA
1998,SD,Midwest,NA
1998,TN,South,NA
1998,TX,South,NA
1998,UT,West,NA
1998,VA,South,NA
1998,VT,Northeast,NA
1998,WA,West,NA
1998,WI,Midwest,NA
1998,WV,South,NA
1998,WY,West,NA
